Team,Previous_ELO,Updated_ELO,Change
Al Ahly,1712.0,1673.14,-38.86
Al Ain,1254.0,1485.63,231.63
Al Hilal,1684.0,1657.57,-26.43
Atletico Madrid,1872.0,1802.26,-69.74
Auckland City,1576.0,1400.8,-175.2
Bayern Munich,1932.0,1939.46,7.46
Benfica,1798.0,1980.81,182.81
Boca Juniors,1643.0,1627.93,-15.07
Borussia Dortmund,1832.0,1841.9,9.9
Botafogo,1327.0,1488.1,161.1
CF Pachuca,1590.0,1620.8,30.8
Chelsea,1893.0,1900.82,7.82
Esperance Sportive de Tunis,1634.0,1525.03,-108.97
FC Salzburg,1591.0,1620.51,29.51
Flamengo,1772.0,1772.33,0.33
Fluminense,1677.0,1691.01,14.01
Inter Miami,1424.0,1485.09,61.09
Inter Milan,1936.0,1769.09,-166.91
Juventus,1804.0,1733.56,-70.44
Los Angeles FC,1480.0,1580.82,100.82
Mamelodi Sundowns,1641.0,1589.18,-51.82
Manchester City,1950.0,1873.71,-76.29
Palmeiras,1793.0,1831.86,38.86
Paris Saint-Germain,1991.0,1829.9,-161.1
Porto,1687.0,1625.91,-61.09
Real Madrid,1936.0,1902.12,-33.88
River Plate,1328.0,1482.89,154.89
Seattle Sounders,1459.0,1528.74,69.74
Ulsan HD,1512.0,1539.91,27.91
Urawa Red Diamonds,1474.0,1486.02,12.02
Wydad AC,1529.0,1444.1,-84.9
